Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI
A9034,Both,CRC,01yr,61918,33,52.55,49.922,55.177,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,CRC,01yr,64229,38,59.405,56.435,62.375,43588,24,55.655,52.873,58.438,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,CRC,01yr,2386915,1128,47.243,44.881,49.605,1417530,738,52.069,49.466,54.672,799349,434,54.296,51.582,57.011,107159,49,45.997,43.697,48.296,46631,25,53.809,51.118,56.499,16246,,,,
A9010,Female,CRC,01yr,32771,16,48.337,45.92,50.754,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,CRC,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,CRC,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,CRC,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,CRC,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,CRC,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,CRC,01yr,2283809,1177,51.524,48.947,54.1,1374912,648,47.137,44.78,49.494,723206,321,44.353,42.135,46.571,125373,47,37.588,35.708,39.467,44547,17,38.511,36.586,40.437,15771,,,,
A9010,Male,CRC,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,CRC,01yr,30522,19,61.123,58.067,64.179,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,CRC,01yr,30182,17,55.218,52.457,57.979,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,CRC,01yr,29712,22,74.989,71.239,78.738,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,CRC,01yr,29876,16,55.106,52.351,57.861,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,CRC,01yr,31347,22,71.092,67.537,74.646,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Kidney,01yr,4670724,1128,24.159,22.951,25.366,2792442,486,17.395,16.525,18.264,1522555,330,21.657,20.574,22.74,232532,56,24.237,23.025,25.449,91178,17,19.107,18.152,20.062,32017,,,,
A9010,Both,Kidney,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Kidney,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Kidney,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Kidney,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Kidney,01yr,61918,16,25.252,23.99,26.515,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Kidney,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Kidney,01yr,2386915,342,14.317,13.601,15.033,1417530,137,9.676,9.193,10.16,799349,159,19.908,18.913,20.903,107159,18,16.972,16.123,17.82,46631,,,,,16246,,,,
A9010,Female,Kidney,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Kidney,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Kidney,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Kidney,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Kidney,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Kidney,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Kidney,01yr,2283809,684,29.947,28.449,31.444,1374912,473,34.408,32.688,36.129,723206,265,36.674,34.841,38.508,125373,46,36.544,34.717,38.371,44547,,,,,15771,,,,
A9010,Male,Kidney,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Kidney,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Kidney,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Kidney,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Kidney,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Kidney,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,NHL,01yr,4670724,1141,24.436,23.214,25.658,2792442,678,24.284,23.069,25.498,1522555,312,20.473,19.45,21.497,232532,37,15.905,15.11,16.7,91178,20,21.999,20.899,23.099,32017,,,,
A9010,Both,NHL,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,NHL,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,NHL,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,NHL,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,NHL,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,NHL,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,NHL,01yr,2386915,410,17.171,16.312,18.029,1417530,154,10.857,10.314,11.4,799349,173,21.695,20.61,22.78,107159,,,,,46631,,,,,16246,,,,
A9010,Female,NHL,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,NHL,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,NHL,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,NHL,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,NHL,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,NHL,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,NHL,01yr,2283809,758,33.17,31.511,34.828,1374912,372,27.092,25.738,28.447,723206,241,33.308,31.642,34.973,125373,21,16.943,16.096,17.79,44547,,,,,15771,,,,
A9010,Male,NHL,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,NHL,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,NHL,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,NHL,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,NHL,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,NHL,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Urinary,01yr,4670724,694,14.868,14.125,15.611,2792442,469,16.786,15.947,17.625,1522555,390,25.585,24.306,26.864,232532,52,22.322,21.206,23.438,91178,19,21.031,19.979,22.082,32017,,,,
A9010,Both,Urinary,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Urinary,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Urinary,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Urinary,01yr,64933,16,24.684,23.45,25.918,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Urinary,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Urinary,01yr,64229,17,26.123,24.817,27.429,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Urinary,01yr,2386915,225,9.411,8.941,9.882,1417530,108,7.634,7.253,8.016,799349,74,9.257,8.795,9.72,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Urinary,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Urinary,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Urinary,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Urinary,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Urinary,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Urinary,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Urinary,01yr,2283809,1124,49.231,46.769,51.693,1374912,663,48.245,45.833,50.657,723206,163,22.554,21.427,23.682,125373,58,46.123,43.817,48.429,44547,20,44.631,42.4,46.863,15771,,,,
A9010,Male,Urinary,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Urinary,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Urinary,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Urinary,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Urinary,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Urinary,01yr,31347,16,49.77,47.281,52.258,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Mela,01yr,4670724,521,11.161,10.603,11.719,2792442,219,7.86,7.467,8.253,1522555,320,21.014,19.963,22.065,232532,36,15.334,14.567,16.101,91178,23,25.514,24.239,26.79,32017,,,,
A9010,Both,Mela,01yr,62464,18,28.391,26.971,29.811,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Mela,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Mela,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Mela,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Mela,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Mela,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Mela,01yr,2386915,359,15.024,14.273,15.775,1417530,179,12.594,11.964,13.224,799349,110,13.752,13.065,14.44,107159,23,21.836,20.745,22.928,46631,,,,,16246,,,,
A9010,Female,Mela,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Mela,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Mela,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Mela,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Mela,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Mela,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Mela,01yr,2283809,529,23.145,21.988,24.302,1374912,274,19.964,18.965,20.962,723206,64,8.801,8.361,9.241,125373,31,24.684,23.45,25.918,44547,17,38.688,36.754,40.622,15771,,,,
A9010,Male,Mela,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Mela,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Mela,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Mela,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Mela,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Mela,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Pancreas,01yr,4670724,691,14.785,14.046,15.524,2792442,486,17.396,16.526,18.265,1522555,227,14.933,14.186,15.68,232532,35,14.937,14.19,15.684,91178,,,,,32017,,,,
A9010,Both,Pancreas,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Pancreas,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Pancreas,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Pancreas,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Pancreas,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Pancreas,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Pancreas,01yr,2386915,284,11.889,11.295,12.484,1417530,163,11.529,10.953,12.106,799349,109,13.665,12.982,14.349,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Pancreas,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Pancreas,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Pancreas,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Pancreas,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
A9034,Female,Pancreas,01yr,32042,,,,,18169,,,,,12490,,,,,826,,,,,412,,,,,145,,,,
A9038,Female,Pancreas,01yr,32882,,,,,22015,,,,,8379,,,,,1630,,,,,712,,,,,146,,,,
Statewide,Male,Pancreas,01yr,2283809,373,16.34,15.523,17.157,1374912,152,11.063,10.51,11.616,723206,114,15.761,14.973,16.549,125373,19,14.876,14.132,15.619,44547,,,,,15771,,,,
A9010,Male,Pancreas,01yr,29693,,,,,19186,,,,,8179,,,,,1370,,,,,829,,,,,129,,,,
A9013,Male,Pancreas,01yr,30522,,,,,21174,,,,,5960,,,,,2612,,,,,626,,,,,150,,,,
A9017,Male,Pancreas,01yr,30182,,,,,13819,,,,,15365,,,,,708,,,,,159,,,,,132,,,,
A9020,Male,Pancreas,01yr,29712,,,,,6478,,,,,22000,,,,,781,,,,,356,,,,,97,,,,
A9034,Male,Pancreas,01yr,29876,,,,,17393,,,,,11089,,,,,887,,,,,364,,,,,144,,,,
A9038,Male,Pancreas,01yr,31347,,,,,21572,,,,,7187,,,,,1903,,,,,527,,,,,158,,,,
Statewide,Both,Leuks,01yr,4670724,800,17.135,16.279,17.992,2792442,277,9.931,9.434,10.428,1522555,177,11.604,11.024,12.185,232532,38,16.187,15.377,16.996,91178,,,,,32017,,,,
A9010,Both,Leuks,01yr,62464,,,,,40475,,,,,17428,,,,,2581,,,,,1684,,,,,296,,,,
A9013,Both,Leuks,01yr,60946,,,,,42203,,,,,12237,,,,,4788,,,,,1378,,,,,338,,,,
A9017,Both,Leuks,01yr,62145,,,,,27674,,,,,32443,,,,,1363,,,,,388,,,,,277,,,,
A9020,Both,Leuks,01yr,64933,,,,,13375,,,,,49117,,,,,1482,,,,,724,,,,,236,,,,
A9034,Both,Leuks,01yr,61918,,,,,35562,,,,,23579,,,,,1712,,,,,776,,,,,289,,,,
A9038,Both,Leuks,01yr,64229,,,,,43588,,,,,15566,,,,,3533,,,,,1239,,,,,305,,,,
Statewide,Female,Leuks,01yr,2386915,259,10.849,10.306,11.391,1417530,213,15.021,14.27,15.772,799349,79,9.909,9.414,10.404,107159,,,,,46631,,,,,16246,,,,
A9010,Female,Leuks,01yr,32771,,,,,21289,,,,,9249,,,,,1210,,,,,855,,,,,167,,,,
A9013,Female,Leuks,01yr,30424,,,,,21030,,,,,6277,,,,,2176,,,,,752,,,,,189,,,,
A9017,Female,Leuks,01yr,31963,,,,,13855,,,,,17078,,,,,656,,,,,229,,,,,145,,,,
A9020,Female,Leuks,01yr,35222,,,,,6897,,,,,27117,,,,,701,,,,,368,,,,,139,,,,
