Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI
A9046,Both,AllSite,05yrs,312628,7335,469.25,445.788,492.713,31567,778,492.615,467.985,517.246,268319,6194,461.683,438.599,484.767
A9048,Both,AllSite,05yrs,322771,7514,465.607,442.327,488.887,142080,3714,522.846,496.703,548.988,152043,3356,441.466,419.392,463.539
A9049,Both,AllSite,05yrs,316574,8116,512.709,487.074,538.345,195249,4746,486.144,461.837,510.452,92417,2065,446.856,424.513,469.199
B0002,Both,AllSite,05yrs,260582,5848,448.85,426.408,471.293,198503,5401,544.212,517.001,571.423,50210,1216,484.358,460.141,508.576
B0004,Both,AllSite,05yrs,342496,8426,492.024,467.423,516.625,202189,5406,534.727,507.991,561.463,129062,2933,454.558,431.831,477.286
B0010,Both,AllSite,05yrs,310725,6847,440.688,418.654,462.723,171342,3912,456.676,433.842,479.509,129394,2933,453.407,430.737,476.078
B0011,Both,AllSite,05yrs,365714,8409,459.85,436.857,482.842,321035,7648,476.444,452.622,500.266,30089,821,545.425,518.154,572.697
B0013,Both,AllSite,05yrs,332283,8386,504.747,479.51,529.985,221394,5140,464.356,441.138,487.574,70047,1553,443.523,421.346,465.699
B0016,Both,AllSite,05yrs,288845,7092,491.067,466.514,515.621,161534,3958,490.042,465.54,514.544,120627,3083,511.216,485.655,536.777
B0019,Both,AllSite,05yrs,286279,7636,533.454,506.781,560.127,167396,4112,491.306,466.741,515.872,111424,2810,504.404,479.184,529.624
B0024,Both,AllSite,05yrs,382487,9979,521.795,495.705,547.885,230036,5491,477.368,453.5,501.237,122434,3203,523.164,497.006,549.323
B0026,Both,AllSite,05yrs,256062,5594,436.89,415.046,458.735,162919,4443,545.449,518.177,572.722,72653,1615,444.459,422.236,466.682
B0030,Both,AllSite,05yrs,329054,8353,507.689,482.305,533.074,137686,3139,455.906,433.11,478.701,174549,3889,445.609,423.329,467.89
B0032,Both,AllSite,05yrs,289491,7181,496.097,471.292,520.902,151705,3553,468.403,444.983,491.823,128516,3018,469.605,446.125,493.086
B0034,Both,AllSite,05yrs,479651,10502,437.92,416.024,459.816,359372,8954,498.311,473.396,523.227,105840,2682,506.744,481.407,532.082
B0035,Both,AllSite,05yrs,372473,8148,437.481,415.607,459.355,234477,5269,449.458,426.985,471.931,121175,2891,477.145,453.288,501.002
B0038,Both,AllSite,05yrs,295551,6802,460.27,437.257,483.284,234789,6098,519.441,493.469,545.413,44080,1188,539.06,512.107,566.013
B0043,Both,AllSite,05yrs,369689,8905,481.775,457.686,505.864,223342,5570,498.83,473.888,523.771,120098,3101,516.341,490.524,542.158
B0044,Both,AllSite,05yrs,360425,9744,540.679,513.645,567.713,230083,5783,502.705,477.57,527.84,120210,2903,482.948,458.801,507.096
B0047,Both,AllSite,05yrs,340416,8038,472.252,448.64,495.865,203037,5200,512.22,486.609,537.831,129218,3308,512.018,486.417,537.619
B0049,Both,AllSite,05yrs,317291,8379,528.144,501.737,554.551,182198,4935,541.745,514.658,568.832,122017,3018,494.762,470.024,519.5
B0051,Both,AllSite,05yrs,466728,12171,521.541,495.464,547.618,362772,8881,489.629,465.148,514.111,82981,2096,505.18,479.921,530.439
B0058,Both,AllSite,05yrs,487370,12660,519.514,493.538,545.49,380235,8719,458.596,435.666,481.525,67603,1738,514.266,488.553,539.979
B0059,Both,AllSite,05yrs,265630,7131,536.876,510.032,563.719,173496,4729,545.157,517.899,572.415,81954,2138,521.683,495.599,547.767
B0066,Both,AllSite,05yrs,418063,11387,544.752,517.514,571.989,232492,5691,489.599,465.119,514.079,174404,4190,480.438,456.416,504.46
B0067,Both,AllSite,05yrs,521539,12124,464.944,441.697,488.192,401577,10533,524.58,498.351,550.81,96712,2356,487.298,462.933,511.663
B0071,Both,AllSite,05yrs,262380,6033,459.875,436.882,482.869,189205,4530,478.815,454.874,502.756,39285,895,455.831,433.039,478.622
B0072,Both,AllSite,05yrs,263196,6130,465.812,442.522,489.103,174737,4598,526.297,499.982,552.612,69660,1597,458.548,435.621,481.476
Statewide,Female,AllSite,05yrs,11816700,228894,387.408,368.037,406.778,7072836,137314,388.286,368.871,407.7,3948962,89908,455.348,432.581,478.116
A9001,Female,AllSite,05yrs,143085,2666,372.714,354.078,391.35,117508,2358,401.403,381.333,421.474,17122,370,432.198,410.589,453.808
A9002,Female,AllSite,05yrs,156573,3316,423.509,402.334,444.684,74703,1684,450.73,428.193,473.266,38022,860,452.595,429.965,475.225
A9003,Female,AllSite,05yrs,163534,3568,436.406,414.585,458.226,61827,1254,405.782,385.493,426.071,83188,1741,418.66,397.727,439.593
A9004,Female,AllSite,05yrs,171184,3298,385.325,366.059,404.592,78505,1693,431.433,409.861,453.004,85128,1798,422.439,401.317,443.561
A9005,Female,AllSite,05yrs,166396,3470,417.058,396.205,437.911,12957,261,402.421,382.3,422.542,135789,2611,384.577,365.348,403.806
A9006,Female,AllSite,05yrs,150277,2798,372.397,353.777,391.017,89673,1630,363.473,345.299,381.646,51995,1187,456.564,433.736,479.392
A9007,Female,AllSite,05yrs,169880,3849,453.108,430.453,475.764,90849,1682,370.377,351.858,388.896,65421,1256,384.039,364.837,403.241
A9008,Female,AllSite,05yrs,170875,3439,402.57,382.442,422.699,134937,3058,453.189,430.53,475.849,27072,574,424.201,402.991,445.411
A9009,Female,AllSite,05yrs,161952,3508,433.178,411.519,454.837,101974,2324,455.855,433.063,478.648,52714,1159,439.857,417.864,461.85
A9010,Female,AllSite,05yrs,166106,3548,427.201,405.841,448.562,109118,2140,392.154,372.546,411.762,46287,963,415.914,395.119,436.71
A9011,Female,AllSite,05yrs,158425,3015,380.564,361.536,399.592,129017,2768,429.094,407.64,450.549,18132,375,413.485,392.81,434.159
A9013,Female,AllSite,05yrs,150180,3263,434.557,412.829,456.285,105236,1938,368.305,349.889,386.72,30177,659,437.062,415.209,458.915
A9014,Female,AllSite,05yrs,143902,3019,419.656,398.673,440.639,115696,2374,410.327,389.811,430.844,17756,407,458.763,435.825,481.701
A9015,Female,AllSite,05yrs,165107,3029,366.923,348.577,385.27,49818,1140,457.576,434.697,480.455,104088,1997,383.703,364.517,402.888
A9016,Female,AllSite,05yrs,208496,3791,363.686,345.501,381.87,158421,3307,417.518,396.642,438.394,42928,817,380.661,361.628,399.694
A9017,Female,AllSite,05yrs,161828,3059,378.038,359.136,396.94,69394,1268,365.461,347.188,383.734,87644,1836,418.984,398.034,439.933
A9018,Female,AllSite,05yrs,150529,2743,364.502,346.277,382.727,127646,2867,449.161,426.703,471.619,12063,220,364.502,346.277,382.727
A9019,Female,AllSite,05yrs,168076,3760,447.399,425.029,469.769,67634,1468,434.022,412.321,455.723,67615,1393,412.095,391.49,432.7
A9020,Female,AllSite,05yrs,178654,3255,364.441,346.219,382.663,38058,860,451.999,429.399,474.599,134785,2891,428.935,407.488,450.382
A9021,Female,AllSite,05yrs,155175,3309,426.47,405.146,447.793,107532,2346,436.286,414.472,458.101,18817,347,368.526,350.099,386.952
A9022,Female,AllSite,05yrs,164504,3071,373.325,354.659,391.991,64080,1191,371.778,353.189,390.367,96529,1725,357.418,339.547,375.289
A9023,Female,AllSite,05yrs,161436,2868,355.308,337.542,373.073,48371,1097,453.708,431.023,476.394,101235,2176,429.928,408.432,451.424
A9024,Female,AllSite,05yrs,148761,3362,451.957,429.359,474.554,53006,1113,419.804,398.814,440.795,83077,1883,453.301,430.636,475.966
A9025,Female,AllSite,05yrs,150575,3352,445.29,423.025,467.554,93424,2014,431.071,409.517,452.624,47250,963,407.582,387.203,427.961
A9026,Female,AllSite,05yrs,165312,3703,448.018,425.617,470.419,88972,1993,448.04,425.638,470.442,66482,1324,398.329,378.413,418.246
A9027,Female,AllSite,05yrs,138701,2675,385.719,366.433,405.004,98855,2092,423.292,402.128,444.457,23999,439,366.241,347.929,384.554
A9028,Female,AllSite,05yrs,157590,3509,445.329,423.063,467.596,116859,2379,407.205,386.844,427.565,16322,345,423.142,401.985,444.299
A9029,Female,AllSite,05yrs,160236,3505,437.447,415.575,459.32,143595,3054,425.309,404.043,446.574,9428,175,371.146,352.588,389.703
A9030,Female,AllSite,05yrs,165512,3086,372.957,354.31,391.605,82969,1567,377.682,358.797,396.566,66713,1213,363.602,345.422,381.782
A9031,Female,AllSite,05yrs,140163,2986,426.05,404.747,447.352,113654,2414,424.746,403.508,445.983,17290,345,399.642,379.659,419.624
A9033,Female,AllSite,05yrs,178734,3300,369.297,350.832,387.762,160025,3452,431.374,409.805,452.943,11713,221,376.791,357.951,395.63
A9034,Female,AllSite,05yrs,162192,3207,395.417,375.647,415.188,93315,1937,415.166,394.407,435.924,62191,1293,415.875,395.081,436.668
A9035,Female,AllSite,05yrs,161184,3311,410.8,390.26,431.34,80212,1474,367.477,349.104,385.851,75058,1357,361.572,343.494,379.651
A9036,Female,AllSite,05yrs,170517,3678,431.338,409.771,452.905,119956,2478,413.095,392.44,433.75,39739,789,396.877,377.033,416.721
A9037,Female,AllSite,05yrs,156555,3042,388.58,369.151,408.009,116158,2604,448.432,426.011,470.854,24186,547,452.521,429.895,475.147
A9038,Female,AllSite,05yrs,162039,3454,426.279,404.965,447.593,109821,2048,372.97,354.321,391.618,40405,884,437.762,415.874,459.65
A9039,Female,AllSite,05yrs,165630,3630,438.366,416.447,460.284,119073,2246,377.269,358.405,396.132,33186,628,378.761,359.823,397.699
A9040,Female,AllSite,05yrs,146174,3312,453.15,430.493,475.808,97817,2081,425.581,404.302,446.86,32980,742,450.114,427.608,472.619
A9041,Female,AllSite,05yrs,165960,3489,420.461,399.438,441.485,104746,1996,381.2,362.14,400.26,45540,972,426.679,405.345,448.013
A9042,Female,AllSite,05yrs,162006,3473,428.727,407.291,450.163,76893,1569,408.09,387.686,428.495,60029,1089,362.936,344.79,381.083
A9043,Female,AllSite,05yrs,155790,3199,410.661,390.128,431.194,70683,1614,456.712,433.876,479.547,78209,1413,361.341,343.274,379.408
A9044,Female,AllSite,05yrs,197447,3738,378.584,359.654,397.513,79850,1738,435.241,413.479,457.003,112260,2481,442.053,419.95,464.156
A9045,Female,AllSite,05yrs,171223,3838,448.325,425.909,470.742,37556,832,443.031,420.88,465.183,121676,2289,376.31,357.494,395.125
A9046,Female,AllSite,05yrs,168061,3469,412.874,392.231,433.518,16475,330,401.095,381.04,421.15,145884,3263,447.395,425.025,469.765
A9048,Female,AllSite,05yrs,162689,3397,417.666,396.783,438.55,69311,1288,371.769,353.18,390.357,80689,1676,415.404,394.634,436.174
A9049,Female,AllSite,05yrs,165023,3702,448.608,426.178,471.039,101151,2156,426.294,404.98,447.609,50144,1013,404.036,383.834,424.238
B0002,Female,AllSite,05yrs,119871,2627,438.381,416.462,460.3,97466,2196,450.697,428.162,473.232,18913,373,393.991,374.291,413.69
B0004,Female,AllSite,05yrs,172854,3883,449.257,426.794,471.72,102198,2104,411.698,391.113,432.283,65366,1396,427.192,405.832,448.552
B0010,Female,AllSite,05yrs,162132,3027,373.373,354.704,392.042,87529,1993,455.341,432.574,478.108,69449,1362,392.096,372.491,411.701
B0011,Female,AllSite,05yrs,187035,4227,451.996,429.396,474.595,164281,3741,455.401,432.631,478.171,15567,318,409.102,388.647,429.557
B0013,Female,AllSite,05yrs,166592,3444,413.437,392.765,434.108,110527,2528,457.379,434.51,480.248,36621,728,397.722,377.836,417.608
B0016,Female,AllSite,05yrs,130695,2347,359.087,341.132,377.041,77207,1511,391.539,371.962,411.116,50304,943,374.842,356.1,393.584
B0019,Female,AllSite,05yrs,140315,2492,355.189,337.429,372.948,83165,1595,383.583,364.403,402.762,53591,988,368.653,350.22,387.085
B0024,Female,AllSite,05yrs,194076,3460,356.539,338.712,374.366,117046,2513,429.468,407.995,450.942,64229,1426,443.948,421.75,466.145
B0026,Female,AllSite,05yrs,130963,2940,449.007,426.556,471.457,82279,1520,369.472,350.999,387.946,38395,755,393.222,373.561,412.883
B0030,Female,AllSite,05yrs,169223,3524,416.525,395.699,437.351,69134,1375,397.817,377.926,417.708,91908,1867,406.255,385.943,426.568
B0032,Female,AllSite,05yrs,144219,2779,385.41,366.139,404.68,75894,1525,401.837,381.745,421.928,64397,1306,405.47,385.197,425.744
B0034,Female,AllSite,05yrs,242868,5403,444.926,422.68,467.173,183605,4098,446.427,424.105,468.748,53714,971,361.619,343.538,379.7
B0035,Female,AllSite,05yrs,189192,3960,418.576,397.647,439.505,117949,2260,383.254,364.091,402.417,63568,1160,364.97,346.721,383.218
B0038,Female,AllSite,05yrs,152031,2811,369.752,351.265,388.24,120928,2559,423.236,402.074,444.398,22966,525,456.8,433.96,479.64
B0043,Female,AllSite,05yrs,188984,4333,458.604,435.674,481.534,113497,2018,355.626,337.844,373.407,63124,1343,425.45,404.177,446.722
B0044,Female,AllSite,05yrs,177608,3510,395.242,375.48,415.005,115869,2416,417.026,396.175,437.877,56803,1146,403.491,383.317,423.666
B0047,Female,AllSite,05yrs,173410,3597,414.899,394.154,435.644,103315,2167,419.46,398.487,440.433,66035,1371,415.36,394.592,436.128
B0049,Female,AllSite,05yrs,160768,3293,409.649,389.167,430.132,90482,1800,397.94,378.043,417.837,64367,1397,434.116,412.411,455.822
B0051,Female,AllSite,05yrs,224381,4926,439.053,417.1,461.005,178230,3458,388.064,368.66,407.467,35776,741,413.999,393.299,434.699
B0058,Female,AllSite,05yrs,247615,4776,385.748,366.46,405.035,194098,4068,419.153,398.195,440.11,35693,748,419.352,398.384,440.32
B0059,Female,AllSite,05yrs,134645,2560,380.326,361.31,399.342,87054,1766,405.614,385.333,425.895,42677,945,442.723,420.587,464.859
B0066,Female,AllSite,05yrs,217267,3937,362.372,344.253,380.49,119686,2186,365.273,347.009,383.537,91928,1967,428.024,406.623,449.426
B0067,Female,AllSite,05yrs,267264,5057,378.454,359.531,397.377,205631,4552,442.742,420.605,464.879,49915,894,358.015,340.114,375.916
B0071,Female,AllSite,05yrs,124948,2370,379.322,360.356,398.288,90482,1747,386.196,366.886,405.505,18581,408,438.994,417.044,460.944
B0072,Female,AllSite,05yrs,133495,3036,454.826,432.085,477.567,87954,1761,400.406,380.385,420.426,36117,796,440.849,418.807,462.892
Statewide,Male,AllSite,05yrs,11309562,357517,632.238,600.626,663.85,6857584,208904,609.265,578.801,639.728,3574132,110753,619.748,588.761,650.736
A9001,Male,AllSite,05yrs,136012,4266,627.237,595.875,658.598,112465,3502,622.797,591.657,653.937,15420,465,603.147,572.99,633.304
A9002,Male,AllSite,05yrs,149292,4192,561.595,533.515,589.675,69076,2153,623.293,592.128,654.457,32288,1005,622.328,591.212,653.444
A9003,Male,AllSite,05yrs,146448,4391,599.658,569.676,629.641,57147,1872,655.172,622.413,687.931,68587,1924,561.09,533.035,589.144
A9004,Male,AllSite,05yrs,153319,4008,522.807,496.667,548.947,70522,2382,675.556,641.778,709.334,74951,1979,528.195,501.785,554.604
A9005,Male,AllSite,05yrs,143308,3845,536.67,509.836,563.503,11649,379,650.737,618.2,683.274,111572,3665,656.919,624.073,689.765
A9006,Male,AllSite,05yrs,144361,4460,617.962,587.064,648.86,88336,3004,680.192,646.182,714.201,46223,1557,673.554,639.877,707.232
A9007,Male,AllSite,05yrs,153380,4167,543.292,516.128,570.457,86880,2581,594.11,564.404,623.815,53212,1407,528.965,502.516,555.413
A9008,Male,AllSite,05yrs,165746,4961,598.662,568.729,628.595,129337,3417,528.326,501.91,554.742,26663,812,609.185,578.726,639.644
A9009,Male,AllSite,05yrs,147096,4242,576.786,547.946,605.625,93350,2543,544.803,517.563,572.043,45780,1255,548.149,520.741,575.556
A9010,Male,AllSite,05yrs,150288,4297,571.855,543.263,600.448,98273,2640,537.229,510.368,564.091,40669,1298,638.546,606.618,670.473
A9011,Male,AllSite,05yrs,151695,4574,603.097,572.942,633.252,122324,3869,632.59,600.961,664.22,17088,466,545.73,518.443,573.016
A9013,Male,AllSite,05yrs,150440,4948,657.791,624.902,690.681,105746,2926,553.476,525.802,581.15,28537,827,579.447,550.475,608.419
A9014,Male,AllSite,05yrs,139242,4063,583.525,554.348,612.701,110455,3140,568.581,540.152,597.01,16181,517,638.803,606.863,670.743
A9015,Male,AllSite,05yrs,142051,4284,603.225,573.064,633.387,49302,1454,589.734,560.248,619.221,81468,2182,535.713,508.927,562.498
A9016,Male,AllSite,05yrs,187162,5427,579.941,550.944,608.939,145371,4540,624.577,593.348,655.805,34802,940,539.976,512.978,566.975
A9017,Male,AllSite,05yrs,152883,4570,597.824,567.932,627.715,69531,2247,646.208,613.897,678.518,78534,2254,573.911,545.215,602.606
A9018,Male,AllSite,05yrs,140963,3892,552.143,524.535,579.75,119425,4042,676.982,643.133,710.831,11530,339,588.852,559.409,618.295
A9019,Male,AllSite,05yrs,161613,4654,575.946,547.149,604.744,64827,2184,673.646,639.964,707.329,60602,1994,658.19,625.281,691.1
A9020,Male,AllSite,05yrs,150634,5047,670.046,636.543,703.548,35435,1072,605.248,574.985,635.51,109113,3631,665.518,632.242,698.794
A9021,Male,AllSite,05yrs,148115,4614,623.056,591.903,654.209,99628,2782,558.503,530.577,586.428,17109,518,605.541,575.264,635.818
A9022,Male,AllSite,05yrs,156627,4792,611.955,581.357,642.553,63244,1787,565.038,536.786,593.29,89683,2999,668.812,635.371,702.253
A9023,Male,AllSite,05yrs,155950,5063,649.328,616.861,681.794,54101,1506,556.798,528.958,584.638,87862,2548,579.952,550.954,608.949
A9024,Male,AllSite,05yrs,158065,5366,678.912,644.967,712.858,61141,1655,541.357,514.29,568.425,80027,2162,540.376,513.358,567.395
A9025,Male,AllSite,05yrs,140731,3697,525.364,499.095,551.632,89504,2766,618.127,587.221,649.033,40988,1210,590.193,560.684,619.703
A9026,Male,AllSite,05yrs,149206,3959,530.611,504.081,557.142,83201,2203,529.561,503.083,556.039,55084,1815,659.119,626.163,692.075
A9027,Male,AllSite,05yrs,138245,4299,621.901,590.806,652.996,99230,2760,556.373,528.554,584.192,22476,702,624.56,593.332,655.788
A9028,Male,AllSite,05yrs,149655,4763,636.584,604.755,668.413,108323,3000,553.976,526.277,581.675,13869,395,570.003,541.503,598.503
A9029,Male,AllSite,05yrs,153192,4200,548.395,520.975,575.815,137050,4553,664.453,631.23,697.675,8168,243,595.606,565.826,625.386
A9030,Male,AllSite,05yrs,152020,5074,667.584,634.205,700.963,78151,2287,585.18,555.921,614.439,56300,1917,680.971,646.923,715.02
A9031,Male,AllSite,05yrs,138888,4250,611.98,581.381,642.579,112498,3433,610.273,579.759,640.786,15605,410,525.396,499.126,551.665
A9033,Male,AllSite,05yrs,177583,5153,580.377,551.358,609.396,158098,5361,678.171,644.262,712.079,12126,399,657.709,624.824,690.595
A9034,Male,AllSite,05yrs,151126,4632,612.977,582.328,643.626,89232,2865,642.11,610.004,674.215,55056,1802,654.728,621.992,687.465
A9035,Male,AllSite,05yrs,157260,5288,672.526,638.9,706.152,78885,2663,675.09,641.335,708.844,72115,2120,587.824,558.433,617.215
A9036,Male,AllSite,05yrs,158291,4808,607.527,577.15,637.903,112755,3394,601.982,571.883,632.081,34709,1036,596.943,567.096,626.79
A9037,Male,AllSite,05yrs,145738,4601,631.376,599.807,662.944,107821,3496,648.463,616.04,680.887,21497,644,598.788,568.849,628.728
A9038,Male,AllSite,05yrs,154358,5058,655.379,622.61,688.148,107600,3224,599.23,569.269,629.192,34600,948,547.829,520.437,575.22
A9039,Male,AllSite,05yrs,158802,4525,569.948,541.451,598.446,114956,3781,657.865,624.971,690.758,29899,1016,679.336,645.369,713.303
A9040,Male,AllSite,05yrs,140592,3777,537.368,510.5,564.236,92447,3092,668.975,635.526,702.424,30070,1006,668.811,635.371,702.252
A9041,Male,AllSite,05yrs,152337,5062,664.645,631.412,697.877,98757,2927,592.741,563.104,622.378,37451,998,533.13,506.474,559.787
A9042,Male,AllSite,05yrs,155089,4857,626.406,595.085,657.726,73969,2227,602.202,572.092,632.312,53388,1492,558.749,530.811,586.686
A9043,Male,AllSite,05yrs,149719,5054,675.123,641.367,708.879,70812,2307,651.679,619.095,684.263,70973,2251,634.204,602.494,665.915
A9044,Male,AllSite,05yrs,185740,6102,657.026,624.174,689.877,77833,2574,661.436,628.364,694.508,101258,2863,565.459,537.186,593.732
A9045,Male,AllSite,05yrs,148130,4616,623.261,592.098,654.424,34888,1124,644.372,612.154,676.591,100298,3226,643.196,611.036,675.356
A9046,Male,AllSite,05yrs,144567,4893,676.926,643.08,710.773,15092,421,557.688,529.804,585.573,122435,3867,631.76,600.172,663.348
A9048,Male,AllSite,05yrs,160083,4229,528.352,501.935,554.77,72770,2362,649.126,616.67,681.583,71354,1905,533.939,507.242,560.636
A9049,Male,AllSite,05yrs,151551,4328,571.13,542.574,599.687,94098,3073,653.051,620.398,685.703,42273,1145,541.648,514.565,568.73
B0002,Male,AllSite,05yrs,140711,4421,628.324,596.908,659.741,101037,3416,676.193,642.383,710.002,31297,1003,640.718,608.682,672.754
B0004,Male,AllSite,05yrs,169642,4545,535.838,509.046,562.629,99991,2638,527.625,501.244,554.006,63696,1850,581.019,551.968,610.07
B0010,Male,AllSite,05yrs,148593,4132,556.108,528.303,583.913,83813,2740,653.956,621.258,686.653,59945,1608,536.438,509.616,563.26
B0011,Male,AllSite,05yrs,178679,4695,525.485,499.21,551.759,156755,4343,554.092,526.387,581.797,14522,437,601.239,571.177,631.301
